Keys,fr
UI_NOT_IMPLEMENTED,Pas encore implémenté
UI_NEW_GAME,Nouvelle partie
UI_LOAD_GAME,Chargement sauvegarde
UI_MODS,Modules
UI_OPTIONS,Options
UI_MENU_CREDITS,Crédits
UI_LANGUAGE,Langue
UI_QUIT,Quitter
UI_BACK,Retour
UI_CONFIRM,Confirmer
UI_CREATIVE_MODE,Construction libre
UI_GAME_VERSION,Pour version de jeu
UI_AUTHOR,Auteur
UI_NEWS,Nouvelles
UI_TWITTER,Twitter (X)
UI_YOUTUBE,YouTube
UI_DISCORD,Discord
UI_WIKI,Wiki
UI_MUSIC,Musique
UI_FORUMS,Forums
UI_CHOOSE_STORY,Choisissez votre histoire
UI_WORLD_SEED,Graine du monde
UI_SKIP_STORY,Passer le texte sur l'histoire
UI_DIFFICULTY,Difficulté
UI_SCENARIO,Scénario
UI_SHIPBUILDER,Constructeur de vaisseau
UI_TRAITS,Traits
UI_TIMID,Timide
UI_NORMAL,Normale
UI_BRUTAL,Brutale
UI_TUTORIAL,Tutoriel
UI_CHOOSE_CREW,Choisissez votre équipage
UI_AVAILABLE,Disponible
UI_SELECTED,Sélectionné
UI_BACKSTORY,Passé
UI_LAWS,Lois
UI_CHARACTERISTICS,Caractéristiques
UI_MEDICAL_CONDITIONS,Conditions médicales
UI_NONE,Aucun
UI_VOCATION,Vocation
UI_PARTY_SKILLS,Compétences de groupe
UI_HEADGEAR,Armure de tête
UI_RANDOMISE,Au hasard
UI_OPTIONS#2,Options
UI_PAUSE_ON_ALERT,Pause sur alerte
UI_SHOW_NAME_LABEL,Montrer les noms sous les personnages
UI_SHOW_FPS,Montrer les FPS
UI_SHOW_CUSTOM_MOUSE,Montrer le curseur alternatif
UI_ENABLE_MOUSE_SCROLL,Activer le scrolling de souris
UI_DEV_MODE,Activer le mode développeur
UI_GENERAL,Général
UI_CONTROLS,Contrôles
UI_RESOLUTION,Résolution
UI_VSYNC,Activer la synchro verticale
UI_FULLSCREEN,Plein écran
UI_BORDERLESS_WINDOW,Activer la fenêtre sans bordure
UI_MASTER_VOLUME,Volume principal
UI_MUSIC_VOLUME,Volume de la musique
UI_SOUNDS_VOLUME,Volume des effets
UI_MENU_VOLUME,Volume du menu
UI_ACCESSIBILITY,Accessibilité
UI_CLOSE,Fermer
UI_CANCEL,Annuler
UI_OK,OK
UI_OPEN_USER_DIR,Ouvrir le dossier utilisateur
UI_SAVE_MENU,Sauver la partie
UI_LOAD_MENU,Charger une partie
UI_LOAD,Charger la partie
UI_SAVE,Nouvelle sauvegarde
UI_OVERWRITE,Écraser
UI_RELATIONS,Relations
UI_RACE,Race
UI_SPECIES,Espèce
UI_TYPE,Type
UI_POWER,Puissance
UI_TECH_LEVEL,Niveau tech
UI_CREW,Équipage
UI_NAME,Nom
UI_MORALE,Moral
UI_STATUS,Statut
UI_ASSIGNED_ROOM,Choisir une chambre
UI_ASSIGNED_ROLE,Choisir un rôle
UI_CONTINUE,Continuer
UI_SAVE_LOAD,Menu Sauv./Charg.
UI_EXIT,Quitter la partie
